subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq
2	5	37	20	20	1	1
2	20	25	20	20	0	1
2	5	19	20	20	1	1
2	10	31	20	20	0	1
2	100	37	20	20	0	1
2	1	43	20	20	1	1
2	50	31	20	20	0	1
2	10	19	20	20	0	1
2	50	43	20	20	0	1
2	1	25	20	20	1	1
2	5	43	20	20	1	1
2	20	37	20	20	0	1
2	100	25	20	20	0	1
2	10	19	20	20	0	1
2	50	19	20	20	0	1
2	5	31	20	20	1	1
2	20	25	20	20	0	1
2	1	37	20	20	1	1
2	100	37	20	20	0	1
2	5	43	20	20	1	1
2	50	37	20	20	0	1
2	100	31	20	20	0	1
2	1	25	20	20	1	1
2	10	43	20	20	0	1
2	20	37	20	20	0	1
2	10	31	20	20	0	1
2	100	25	20	20	0	1
2	50	43	20	20	0	1
2	1	31	20	20	1	1
2	20	19	20	20	0	1
2	5	25	20	20	0	1
2	10	37	20	20	0	1
2	100	19	20	20	0	1
2	5	37	20	20	1	1
2	1	43	20	20	1	1
2	50	31	20	20	0	1
2	20	43	20	20	0	1
2	100	43	20	20	0	1
2	5	19	20	20	1	1
2	10	25	20	20	0	1
2	20	31	20	20	0	1
2	1	19	20	20	1	1
2	50	25	20	20	0	1
3	5	31	10	30	0	0
3	10	43	10	30	0	0
3	50	37	10	30	0	0
3	1	37	10	30	1	0
3	100	43	10	30	0	0
3	20	43	10	30	0	0
3	5	43	10	30	0	0
3	50	25	10	30	0	0
3	1	19	10	30	1	0
3	20	37	10	30	0	0
3	100	19	10	30	0	0
3	10	31	10	30	0	0
3	50	31	10	30	0	0
3	100	37	10	30	0	0
3	20	19	10	30	0	0
3	10	37	10	30	0	0
3	1	43	10	30	1	0
3	5	19	10	30	0	0
3	20	25	10	30	0	0
3	100	25	10	30	0	0
3	1	25	10	30	1	0
3	10	19	10	30	0	0
3	5	25	10	30	0	0
3	50	43	10	30	0	0
3	5	37	10	30	0	0
3	1	31	10	30	1	0
3	20	31	10	30	0	0
3	10	25	10	30	0	0
3	50	19	10	30	0	0
3	100	31	10	30	0	0
3	100	31	20	20	0	1
3	10	31	20	20	1	1
3	50	19	20	20	0	1
3	5	31	20	20	1	1
3	1	31	20	20	1	1
3	20	43	20	20	0	1
3	100	43	20	20	0	1
3	5	19	20	20	1	1
3	10	37	20	20	1	1
3	20	37	20	20	0	1
3	1	37	20	20	1	1
3	50	25	20	20	0	1
3	1	25	20	20	1	1
3	100	19	20	20	0	1
3	5	43	20	20	1	1
3	50	37	20	20	0	1
3	20	19	20	20	0	1
3	10	43	20	20	1	1
3	100	37	20	20	0	1
3	1	43	20	20	1	1
3	10	25	20	20	1	1
3	5	37	20	20	1	1
3	50	43	20	20	0	1
3	20	31	20	20	0	1
3	10	19	20	20	1	1
3	50	31	20	20	0	1
3	100	25	20	20	0	1
3	20	25	20	20	0	1
3	1	19	20	20	1	1
3	5	25	20	20	1	1
3	5	37	20	20	1	1
3	10	19	20	20	1	1
3	100	19	20	20	0	1
3	50	25	20	20	0	1
3	1	19	20	20	1	1
3	20	19	20	20	0	1
3	10	31	20	20	1	1
3	100	25	20	20	0	1
3	20	43	20	20	0	1
3	50	19	20	20	0	1
3	1	31	20	20	1	1
3	5	19	20	20	1	1
3	5	43	20	20	1	1
3	20	31	20	20	0	1
3	1	37	20	20	1	1
3	100	31	20	20	0	1
3	10	25	20	20	1	1
3	50	31	20	20	0	1
3	5	31	20	20	1	1
3	10	37	20	20	1	1
3	20	25	20	20	0	1
3	100	37	20	20	0	1
3	50	43	20	20	0	1
3	1	43	20	20	1	1
3	1	25	20	20	1	1
3	5	25	20	20	1	1
3	100	43	20	20	0	1
3	10	43	20	20	1	1
