subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq	SD_like	SD_likeRaw
3	5	37	20	20	1	1	0.74	24
3	50	43	20	20	0	1	0	93
3	20	31	20	20	0	1	0.42	54
3	10	19	20	20	1	1	0.58	39
3	50	31	20	20	0	1	0	93
3	100	25	20	20	0	1	0	93
3	20	25	20	20	0	1	0.42	54
3	1	19	20	20	1	1	1	1
3	5	25	20	20	1	1	0.74	24
3	5	37	20	20	1	1	0.74	24
3	10	19	20	20	1	1	0.58	39
3	100	19	20	20	0	1	0	93
3	50	25	20	20	0	1	0	93
3	1	19	20	20	1	1	1	1
3	20	19	20	20	0	1	0.42	54
3	10	31	20	20	1	1	0.58	39
3	100	25	20	20	0	1	0	93
3	20	43	20	20	0	1	0.42	54
3	50	19	20	20	0	1	0	93
3	1	31	20	20	1	1	1	1
3	5	19	20	20	1	1	0.74	24
3	5	43	20	20	1	1	0.74	24
3	20	31	20	20	0	1	0.42	54
3	1	37	20	20	1	1	1	1
3	100	31	20	20	0	1	0	93
3	10	25	20	20	1	1	0.58	39
3	50	31	20	20	0	1	0	93
3	5	31	20	20	1	1	0.74	24
3	10	37	20	20	1	1	0.58	39
3	20	25	20	20	0	1	0.42	54
3	100	37	20	20	0	1	0	93
3	50	43	20	20	0	1	0	93
3	1	43	20	20	1	1	1	1
3	1	25	20	20	1	1	1	1
3	5	25	20	20	1	1	0.74	24
3	100	43	20	20	0	1	0	93
3	10	43	20	20	1	1	0.58	39
3	20	37	20	20	0	1	0.42	54
3	50	37	20	20	0	1	0	93
3	5	37	10	30	0	0	0.74	24
3	100	31	10	30	0	0	0	93
3	20	25	10	30	0	0	0.42	54
3	50	19	10	30	0	0	0	93
3	1	37	10	30	1	0	1	1
3	10	37	10	30	0	0	0.58	39
3	1	43	10	30	1	0	1	1
3	5	19	10	30	0	0	0.74	24
3	50	25	10	30	0	0	0	93
3	20	43	10	30	0	0	0.42	54
3	100	43	10	30	0	0	0	93
3	10	43	10	30	0	0	0.58	39
3	5	43	10	30	0	0	0.74	24
3	50	37	10	30	0	0	0	93
3	1	25	10	30	1	0	1	1
3	20	19	10	30	0	0	0.42	54
3	100	19	10	30	0	0	0	93
3	10	19	10	30	0	0	0.58	39
3	1	19	10	30	1	0	1	1
3	100	25	10	30	0	0	0	93
3	50	31	10	30	0	0	0	93
3	10	31	10	30	0	0	0.58	39
3	5	31	10	30	0	0	0.74	24
3	20	37	10	30	0	0	0.42	54
3	100	37	10	30	0	0	0	93
3	50	43	10	30	0	0	0	93
3	10	25	10	30	0	0	0.58	39
3	20	31	10	30	0	0	0.42	54
3	1	31	10	30	1	0	1	1
3	5	25	10	30	0	0	0.74	24
4	10	37	20	20	1	1	0.88	11
4	50	43	20	20	0	1	0.43	54
4	5	43	20	20	1	1	0.96	3
4	1	31	20	20	1	1	1	1
4	20	31	20	20	0	1	0.79	19
4	100	31	20	20	0	1	0.06	89
4	100	25	20	20	0	1	0.06	89
4	5	19	20	20	0	1	0.96	3
4	10	25	20	20	0	1	0.88	11
4	20	19	20	20	0	1	0.79	19
4	1	37	20	20	1	1	1	1
4	50	19	20	20	0	1	0.43	54
4	20	25	20	20	0	1	0.79	19
4	1	19	20	20	0	1	1	1
4	10	43	20	20	1	1	0.88	11
4	5	31	20	20	1	1	0.96	3
4	100	43	20	20	0	1	0.06	89
4	50	25	20	20	0	1	0.43	54
4	10	31	20	20	1	1	0.88	11
4	20	43	20	20	1	1	0.79	19
4	100	19	20	20	0	1	0.06	89
4	5	37	20	20	1	1	0.96	3
4	1	43	20	20	1	1	1	1
4	50	37	20	20	0	1	0.43	54
4	20	37	20	20	1	1	0.79	19
4	1	25	20	20	1	1	1	1
4	5	25	20	20	1	1	0.96	3
4	100	37	20	20	0	1	0.06	89
4	50	31	20	20	0	1	0.43	54
4	10	19	20	20	0	1	0.88	11
4	20	31	20	20	1	1	0.79	19
4	50	31	20	20	0	1	0.43	54
4	10	25	20	20	1	1	0.88	11
4	5	31	20	20	1	1	0.96	3
4	100	25	20	20	0	1	0.06	89
4	1	37	20	20	1	1	1	1
4	5	43	20	20	1	1	0.96	3
4	50	19	20	20	0	1	0.43	54
4	1	43	20	20	1	1	1	1
4	10	31	20	20	1	1	0.88	11
4	20	37	20	20	1	1	0.79	19
4	100	19	20	20	0	1	0.06	89
4	20	19	20	20	0	1	0.79	19
4	50	25	20	20	0	1	0.43	54
4	10	19	20	20	0	1	0.88	11
4	100	31	20	20	0	1	0.06	89
4	5	25	20	20	1	1	0.96	3
4	1	31	20	20	1	1	1	1
4	20	25	20	20	1	1	0.79	19
4	100	43	20	20	0	1	0.06	89
4	10	43	20	20	1	1	0.88	11
4	5	19	20	20	0	1	0.96	3
4	1	25	20	20	1	1	1	1
4	50	37	20	20	0	1	0.43	54
4	100	37	20	20	0	1	0.06	89
4	20	43	20	20	1	1	0.79	19
4	5	37	20	20	1	1	0.96	3
4	50	43	20	20	0	1	0.43	54
4	1	19	20	20	1	1	1	1
4	10	37	20	20	1	1	0.88	11
4	1	43	10	30	1	0	1	1
4	20	43	10	30	1	0	0.79	19
4	100	25	10	30	0	0	0.06	89
4	10	25	10	30	1	0	0.88	11
4	50	25	10	30	0	0	0.43	54
4	5	25	10	30	1	0	0.96	3
4	20	19	10	30	0	0	0.79	19
4	10	43	10	30	1	0	0.88	11
4	5	43	10	30	1	0	0.96	3
4	50	43	10	30	0	0	0.43	54
4	1	19	10	30	1	0	1	1
4	100	31	10	30	0	0	0.06	89
4	10	37	10	30	1	0	0.88	11
4	1	37	10	30	1	0	1	1
4	20	37	10	30	1	0	0.79	19
4	50	37	10	30	0	0	0.43	54
4	5	19	10	30	0	0	0.96	3
4	100	43	10	30	0	0	0.06	89
4	5	31	10	30	1	0	0.96	3
4	1	25	10	30	1	0	1	1
4	100	19	10	30	0	0	0.06	89
4	20	31	10	30	1	0	0.79	19
4	50	19	10	30	0	0	0.43	54
4	10	19	10	30	0	0	0.88	11
4	20	25	10	30	1	0	0.79	19
4	5	37	10	30	1	0	0.96	3
4	100	37	10	30	0	0	0.06	89
4	10	31	10	30	1	0	0.88	11
4	50	31	10	30	0	0	0.43	54
4	1	31	10	30	1	0	1	1
4	20	43	10	30	1	0	0.79	19
4	50	37	10	30	0	0	0.43	54
4	100	43	10	30	0	0	0.06	89
4	1	43	10	30	1	0	1	1
4	10	19	10	30	1	0	0.88	11
4	5	25	10	30	1	0	0.96	3
4	50	19	10	30	0	0	0.43	54
4	10	37	10	30	1	0	0.88	11
4	5	43	10	30	1	0	0.96	3
4	20	31	10	30	1	0	0.79	19
4	100	31	10	30	0	0	0.06	89
4	1	37	10	30	1	0	1	1
4	20	25	10	30	1	0	0.79	19
4	1	19	10	30	1	0	1	1
4	5	31	10	30	1	0	0.96	3
4	50	25	10	30	0	0	0.43	54
4	100	37	10	30	0	0	0.06	89
4	10	25	10	30	1	0	0.88	11
4	1	31	10	30	1	0	1	1
4	100	25	10	30	0	0	0.06	89
4	5	19	10	30	1	0	0.96	3
4	50	31	10	30	0	0	0.43	54
4	10	43	10	30	1	0	0.88	11
4	20	37	10	30	1	0	0.79	19
4	50	43	10	30	0	0	0.43	54
4	1	25	10	30	1	0	1	1
4	100	19	10	30	0	0	0.06	89
4	5	37	10	30	1	0	0.96	3
4	10	31	10	30	1	0	0.88	11
4	20	19	10	30	1	0	0.79	19
5	5	31	10	30	0	0	0.89	9
5	10	37	10	30	0	0	0.84	14
5	100	37	10	30	0	0	0	93
5	20	31	10	30	0	0	0.42	54
5	1	25	10	30	1	0	1	1
5	50	25	10	30	0	0	0.05	89
5	100	25	10	30	0	0	0	93
5	5	37	10	30	1	0	0.89	9
5	10	31	10	30	0	0	0.84	14
5	20	43	10	30	0	0	0.42	54
5	50	43	10	30	0	0	0.05	89
5	1	19	10	30	1	0	1	1
5	100	19	10	30	0	0	0	93
5	20	37	10	30	0	0	0.42	54
5	50	19	10	30	0	0	0.05	89
5	1	31	10	30	1	0	1	1
5	5	43	10	30	1	0	0.89	9
5	10	19	10	30	0	0	0.84	14
5	1	43	10	30	1	0	1	1
